SMID,attachements,acylation1_2C,cest_dep,fed,starved,avg,ratio,anomeric_carbon,pathway
bzglu#8,benzoic acid (x2) isovaleric acid,isovaleric_acid,cest-1.2,6.411252881768561e-4,0.001207313054462758,9.242191713198071e-4,1.8831156354726686,benzoic_acid,AminoAcidCatabolism
higlu#4,hydoxyindole nicotinca cid benzoic acid,nicotinic_acid,cest-1.2,0.0027697469365755185,0.018195774357565864,0.010482760647070691,6.569471787217823,indole,AminoAcidCatabolism
iglas#72,indole ascr#7 anthranilic acid,NA,NA,4.17879940445312e-5,1.9047525647849443e-4,1.1613162526151282e-4,4.558133522167043,NA,other
iglas#x71,indole ascr#7 anthranilic acid,NA,NA,2.656062753774235e-4,0.008270292684184121,0.0042679494797807725,31.13741447724505,NA,other
iglu#10,"indole, nicotinic acid",none,none,0.01584753897549661,0.2076779247583691,0.11176273186693286,13.10474295595548,indole,other
iglu#101,"indole, nicotinic acid",nicotinic_acid,cest-1.2,0.004337879720180475,0.05482376126959903,0.02958082049488975,12.638377457666833,indole,AminoAcidCatabolism
iglu#12,"indole, benzoic acid",none,none,0.032851642976747086,0.02404885739505435,0.02845025018590072,0.7320442819884689,indole,other
iglu#121,"indole, benzoic acid",benzoic_acid,cest-1.2,0.06320223271653895,0.07174217656465164,0.06747220464059529,1.1351209202753043,indole,other
iglu#14,indole isovaleric acid,isovaleric_acid,NA,0.2475672984638754,0.238118897334727,0.2428430978993012,0.9618350194562264,indole,AminoAcidCatabolism
iglu#1401,indole isovaleric acid,isovaleric_acid,NA,0.03261000546262488,0.02918738078987775,0.030898693126251313,0.895043725869047,indole,AminoAcidCatabolism
iglu#16,"indole, phenyacetic acid",phenylacetic_acid,NA,0.15090714535605743,0.16597844235083695,0.15844279385344717,1.0998713278898729,indole,other
iglu#161,"indole, phenyacetic acid",phenylacetic_acid,NA,0.014516997522219478,0.018249827211084917,0.016383412366652198,1.257135105461858,indole,other
iglu#18,indole hydroxybenozoic acid,none,none,0.20831981255947352,0.2810601391927424,0.24468997587610797,1.3491762292772904,indole,other
iglu#181,indole hydroxybenozoic acid,hydroxybenzoic_acid,cest-1.2,0.048545856274760976,0.13390859154086526,0.09122722390781313,2.758393853081224,indole,other
iglu#2,indole,none,none,91.5964259950911,18.941539376664803,55.26898268587795,0.20679343294114916,indole,other
iglu#20,indole propionic acid nicotinic acid,NA,NA,2.3508041877482632e-4,0.0030238385627822913,0.0016294594907785588,12.862996325009526,indole,other
iglu#22,indole pyrrolic acid tiglic acid,pyrrolic_acid,cest-1.2,4.17879940445312e-5,0.01173291364597941,0.00588735082001197,280.7723585266208,indole,AminoAcidCatabolism
iglu#24,indole anthranilic acid propionic acid,anthranilic_acid,NA,1.4183209388161827e-4,0.005886397591342077,0.0030141148426118475,41.50257836745486,indole,other
iglu#26,indole pyrrolic acid (x2),pyrrolic_acid,NA,4.17879940445312e-5,0.0013765132262333153,7.091506101389233e-4,32.94039969390346,indole,AminoAcidCatabolism
iglu#28,indole benzoic acid tiglic acid,tiglic_acid,cest-1.2,4.17879940445312e-5,0.004732290237766926,0.0023870391159057287,113.24521183582013,indole,AminoAcidCatabolism
iglu#30,indole nicotinic acid tiglic acid,nicotinic_acid,cest-1.2,0.08705646336486242,0.18107910487966072,0.13406778412226156,2.0800190804988246,indole,AminoAcidCatabolism
iglu#3001,indole nicotinic acid tiglic acid,nicotinic_acid,NA,0.01342801892384346,0.09091554295463872,0.05217178093924109,6.770584958977422,indole,AminoAcidCatabolism
iglu#36,indole nicotinic acid isovaleric acid,nicotinic_acid,cest-1.2,0.004984657427930825,0.0032111603845425317,0.0040979089062366785,0.6442088410227044,indole,AminoAcidCatabolism
iglu#4,"indole, anthranilic acid",none,none,6.142813597083591,4.5927841732855805,5.367798885184586,0.747667839940005,indole,other
iglu#40,indole nicotinic acid pyrrolic acid,nicotinic_acid,cest-1.2,4.17879940445312e-5,0.017211061118671312,0.008626424556357922,411.8661714254677,indole,AminoAcidCatabolism
iglu#401,"indole, anthranilic acid",anthranilic_acid,cest-1.2,1.301397637212529,0.845090523327583,1.073244080270056,0.649371490436764,indole,other
iglu#41,"indole, anthranilic acid, nicotinic acid",pyrrolic_acid,cest-1.2,0.1559656708858119,0.32860692691103105,0.24228629889842146,2.106918304808345,indole,AminoAcidCatabolism
iglu#42,"indole, antranilic acid, tiglic acid",tiglic_acid,cest-1.2,0.05503951158535989,0.24267731761088646,0.14885841459812318,4.409147367423894,indole,AminoAcidCatabolism
iglu#44,indole anthranilic acid isovaleric acid,anthranilic_acid,cest-1.2,1.760262500317618e-4,0.00699541576620372,0.003585721008117741,39.74075323959626,indole,other
iglu#48,indole anthranilic acid hydroxybutirc acid,anthranilic_acid,NA,9.17628071000676e-5,0.002044519243442997,0.0010681410252715324,22.280478420995152,indole,other
iglu#49,indole anthranilic acid hydroxybutirc acid,hydroxybutyric_acid,NA,4.17879940445312e-5,7.542931027247931e-4,3.980405483846622e-4,18.050474064894903,indole,other
iglu#50,indole benzoic acid (x2),benzoic_acid,cest-1.2,0.008034556951205933,0.003103038478365764,0.005568797714785849,0.38621152320041974,indole,other
iglu#51,indole benzoic nicotinic acid,benzoic_acid,NA,4.17879940445312e-5,7.579517372193856e-4,3.998698656319584e-4,18.13802635301607,indole,other
iglu#52,indole benzoic nicotinic acid,benzoic_acid,cest-1.2,0.001908428072901867,0.006539459508351921,0.004223943790626895,3.426620893502328,indole,other
iglu#56,indole nicotinic acid (x2),nicotinic_acid,cest-1.2,0.06225723974901768,0.13666413791904358,0.09946068883403063,2.1951525392064934,indole,AminoAcidCatabolism
iglu#58,indole anthranilic acid pyrrolic acid,anthranilic_acid,cest-1.2,4.17879940445312e-5,0.015009169546641554,0.007525478770343042,359.17420517115744,indole,other
iglu#6,"indole, nicotinic acid",none,none,2.4258632543999883,2.264896111398211,2.3453796828990994,0.9336454176838624,indole,other
iglu#60,indole hydroxybenzoic acid pyrrolic acid,pyrrolic_acid,cest-1.2,4.17879940445312e-5,0.001274433280847951,6.581106374462411e-4,30.497594105375253,indole,AminoAcidCatabolism
iglu#601,"indole, nicotinic acid",nicotinic_acid,cest-1.2,0.9983264093331382,0.5667278671114834,0.7825271382223108,0.5676779275928863,indole,AminoAcidCatabolism
iglu#74,indole anthranilic acid (x2),anthranilic_acid,cest-1.2,0.10400259340721783,0.19916893238526695,0.1515857628962424,1.9150381337648887,indole,other
iglu#75,indole anthranilic acid hydroxybenozic acid,hydroxybenzoic_acid,cest-1.2,0.007257911559581261,0.010821773260098172,0.009039842409839717,1.4910312934045347,indole,other
iglu#76,indole anthranilic acid hydroxybenozic acid,anthranilic_acid,cest-1.2,0.009764892492683837,0.020687820994949258,0.015226356743816546,2.1185917828024445,indole,other
iglu#8,"indole, tiglic acid",none,none,3.7246598119678302,3.3412573604360154,3.532958586201923,0.8970637666559799,indole,other
iglu#801,indole tiglic acid,tiglic_acid,cest-1.2,1.1890608009151222,0.5668834486915657,0.877972124803344,0.4767489166704362,indole,AminoAcidCatabolism
iglu#84,indole anthranilic acid phenylalanine,anthranilic_acid,cest-1.2,1.0825487056767144e-4,1.0447568085397329e-4,1.0636527571082237e-4,0.9650898874675968,indole,other
iglu#92,indole nicotinic acid isovaleric acid,nicotinic_acid,cest-1.2,0.004124309922822358,0.002293610489559863,0.0032089602061911105,0.5561198194315847,indole,AminoAcidCatabolism
maglu#4,methyl adenine benzoic acid (x2),benzoic_acid,NA,0.0010578261888720118,0.00285943533300903,0.001958630760940521,2.7031239754596377,methyl_adenine,other
mgglu#2,"methyl guanine, benzoic acid",benzoic_acid,NA,3.0799543682241253e-4,0.0022158715003002954,0.001261933468561354,7.194494578106193,methyl_guanine,other
nglu#10,nicotinic acid isovaleric acid phenylacetic acid,isovaleric_acid,cest-1.2,4.424654821081251e-4,0.013659701767945124,0.007051083625026625,30.87179072786317,nicotinic_acid,AminoAcidCatabolism
nglu#6,nicotinc acid (x2) tiglic acid,nicotinic_acid,cest-1.2,0.04145179459772698,0.02391010209333169,0.032680948345529336,0.5768170552172621,nicotinic_acid,AminoAcidCatabolism
nglu#7,nicotinic acid (x2) C6H10O,nicotinic_acid,cest-1.2,0.03401069383620983,0.01026945441172454,0.022140074123967186,0.3019478068039606,nicotinic_acid,AminoAcidCatabolism
nglu#8,nicotinic acid (x2) C6H10O,nicotinic_acid,cest-1.2,0.10262853564481633,0.08572819822821028,0.0941783669365133,0.8353251626321955,nicotinic_acid,AminoAcidCatabolism
nglu#9,nicotinic acid (x2) C6H10O,nicotinic_acid,cest-1.2,0.07891707716574776,0.0696454434644509,0.07428126031509932,0.8825142284245542,nicotinic_acid,AminoAcidCatabolism
