observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,cest-1.2,5,5,,OP50,7/8/2021,47
JB,cest-1.2,5,2,,OP50,7/8/2021,47
JB,cest-1.2,5,2,,OP50,7/8/2021,47
JB,cest-1.2,5,4,,OP50,7/8/2021,48
JB,cest-1.2,5,4,,OP50,7/8/2021,48
JB,cest-1.2,5,5,,OP50,7/8/2021,48
JB,cest-1.2,5,3,,OP50,7/8/2021,48
JB,cest-1.2,5,3,,OP50,7/8/2021,48
JB,cest-1.2,5,4,,OP50,7/8/2021,48
JB,cest-1.2,5,3,,OP50,7/8/2021,48
JB,cest-1.2,5,4,,OP50,7/8/2021,48
JB,cest-1.2,5,5,,OP50,7/8/2021,48
JB,cest-1.2,5,5,,OP50,7/8/2021,48
JB,N2,5,3,,OP50,7/14/2021,65
JB,N2,5,4,,OP50,7/14/2021,65
JB,N2,5,2,,OP50,7/14/2021,65
JB,N2,5,4,,OP50,7/14/2021,65
JB,N2,5,4,,OP50,7/14/2021,65
JB,N2,5,7,,OP50,7/14/2021,65
JB,N2,5,5,,OP50,7/14/2021,65
JB,N2,5,3,,OP50,7/14/2021,65
JB,N2,5,3,,OP50,7/14/2021,65
JB,N2,5,3,,OP50,7/14/2021,65
JB,N2,5,3,,OP50,7/14/2021,66
JB,N2,5,3,,OP50,7/14/2021,66
JB,N2,5,4,,OP50,7/14/2021,66
JB,N2,5,4,,OP50,7/14/2021,66
JB,N2,5,4,,OP50,7/14/2021,66
JB,N2,5,3,,OP50,7/14/2021,66
JB,N2,5,7,,OP50,7/14/2021,66
JB,N2,5,5,,OP50,7/14/2021,66
JB,N2,5,2,,OP50,7/14/2021,66
JB,cest-1.2,5,4,,OP50,7/14/2021,67
JB,cest-1.2,5,2,,OP50,7/14/2021,67
JB,cest-1.2,5,4,,OP50,7/14/2021,67
JB,cest-1.2,5,2,,OP50,7/14/2021,67
JB,cest-1.2,5,3,,OP50,7/14/2021,67
JB,cest-1.2,5,5,,OP50,7/14/2021,67
JB,cest-1.2,5,3,,OP50,7/14/2021,67
JB,cest-1.2,5,4,,OP50,7/14/2021,67
JB,cest-1.2,5,3,,OP50,7/14/2021,67
JB,cest-1.2,5,7,,OP50,7/14/2021,67
JB,cest-1.2,5,2,,OP50,7/14/2021,68
JB,cest-1.2,5,2,,OP50,7/14/2021,68
JB,cest-1.2,5,3,,OP50,7/14/2021,68
JB,cest-1.2,5,3,,OP50,7/14/2021,68
JB,cest-1.2,5,2,,OP50,7/14/2021,68
JB,cest-1.2,5,3,,OP50,7/14/2021,68
JB,cest-1.2,5,4,,OP50,7/14/2021,68
JB,cest-1.2,5,2,,OP50,7/14/2021,68
