observer,genotype,time_off_food_min,bends,additive,food,date,plate,...9,...10
JB,N2,5,7,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,2,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,6,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,77,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,77,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,79,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,80,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,6,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,7,NA,OP50,2021-07-23,81,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,82,NA,NA
