observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,cest-1.2,5,4,NA,OP50,7/23/2021,80
JB,cest-1.2,5,5,NA,OP50,7/23/2021,80
JB,cest-1.2,5,3,NA,OP50,7/23/2021,81
JB,cest-1.2,5,6,NA,OP50,7/23/2021,81
JB,cest-1.2,5,2,NA,OP50,7/23/2021,81
JB,cest-1.2,5,3,NA,OP50,7/23/2021,81
JB,cest-1.2,5,5,NA,OP50,7/23/2021,81
JB,cest-1.2,5,4,NA,OP50,7/23/2021,81
JB,cest-1.2,5,4,NA,OP50,7/23/2021,81
JB,cest-1.2,5,3,NA,OP50,7/23/2021,81
JB,cest-1.2,5,4,NA,OP50,7/23/2021,81
JB,cest-1.2,5,7,NA,OP50,7/23/2021,81
JB,cest-1.2,5,3,NA,OP50,7/23/2021,82
JB,cest-1.2,5,4,NA,OP50,7/23/2021,82
JB,cest-1.2,5,2,NA,OP50,7/23/2021,82
JB,cest-1.2,5,3,NA,OP50,7/23/2021,82
JB,cest-1.2,5,3,NA,OP50,7/23/2021,82
JB,cest-1.2,5,2,NA,OP50,7/23/2021,82
JB,cest-1.2,5,4,NA,OP50,7/23/2021,82
JB,cest-1.2,5,5,NA,OP50,7/23/2021,82
JB,cest-1.2,5,3,NA,OP50,7/23/2021,82
JB,N2,5,7,NA,OP50,7/23/2021,83
JB,N2,5,6,NA,OP50,7/23/2021,83
JB,N2,5,4,NA,OP50,7/23/2021,83
JB,N2,5,3,NA,OP50,7/23/2021,83
JB,N2,5,4,NA,OP50,7/23/2021,83
JB,N2,5,5,NA,OP50,7/23/2021,83
JB,N2,5,5,NA,OP50,7/23/2021,83
JB,N2,5,6,NA,OP50,7/23/2021,83
JB,N2,5,6,NA,OP50,7/23/2021,83
JB,N2,5,4,NA,OP50,7/23/2021,84
JB,N2,5,4,NA,OP50,7/23/2021,84
JB,N2,5,5,NA,OP50,7/23/2021,84
JB,N2,5,4,NA,OP50,7/23/2021,84
JB,N2,5,3,NA,OP50,7/23/2021,84
JB,N2,5,4,NA,OP50,7/23/2021,84
JB,N2,5,5,NA,OP50,7/23/2021,84
JB,N2,5,5,NA,OP50,7/23/2021,84
JB,N2,5,5,NA,OP50,7/23/2021,84
JB,N2,5,4,NA,OP50,8/11/2021,117
JB,N2,5,3,NA,OP50,8/11/2021,117
JB,N2,5,4,NA,OP50,8/11/2021,117
JB,N2,5,4,NA,OP50,8/11/2021,117
JB,N2,5,3,NA,OP50,8/11/2021,117
JB,N2,5,3,NA,OP50,8/11/2021,117
JB,N2,5,3,NA,OP50,8/11/2021,117
JB,N2,5,3,NA,OP50,8/11/2021,117
JB,N2,5,5,NA,OP50,8/11/2021,117
JB,N2,5,4,NA,OP50,8/11/2021,117
JB,N2,5,5,NA,OP50,8/11/2021,118
JB,N2,5,3,NA,OP50,8/11/2021,118
JB,N2,5,3,NA,OP50,8/11/2021,118
JB,N2,5,5,NA,OP50,8/11/2021,118
JB,N2,5,8,NA,OP50,8/11/2021,118
JB,N2,5,3,NA,OP50,8/11/2021,118
JB,N2,5,3,NA,OP50,8/11/2021,118
JB,N2,5,4,NA,OP50,8/11/2021,118
JB,N2,5,5,NA,OP50,8/11/2021,118
JB,N2,5,2,NA,OP50,8/11/2021,118
JB,cest-1.2,5,3,NA,OP50,8/11/2021,119
JB,cest-1.2,5,3,NA,OP50,8/11/2021,119
JB,cest-1.2,5,4,NA,OP50,8/11/2021,119
JB,cest-1.2,5,3,NA,OP50,8/11/2021,119
JB,cest-1.2,5,4,NA,OP50,8/11/2021,119
JB,cest-1.2,5,3,NA,OP50,8/11/2021,119
